"Team","Opponent","HomeGoals","OpponentGoals","score","HomeWin","Draw","OpponentWin","HomeWin_Odds","Draw_Odds","OpponentWin_Odds"
"Aberdeen","Ross County",1,1,"1 - 1",0.588090170621956,0.262944841712106,0.148104508345487,1.70041951039993,3.80307897842272,6.75198892438357
"Aberdeen","Hearts",2,1,"2 - 1",0.64051016209441,0.228163146614022,0.129224838429231,1.56125547911698,4.3828287558274,7.73845037962764
"Aberdeen","Dundee United",1,1,"1 - 1",0.537351596517569,0.303945694061002,0.158410522765885,1.86097893163569,3.29006141406069,6.31271194955841
"Aberdeen","Hibernian",1,1,"1 - 1",0.43741150706242,0.299713192692197,0.262613851936213,2.28617670969799,3.33652313072182,3.80787225284253
"Aberdeen","Motherwell",2,1,"2 - 1",0.564104353946158,0.248087322415802,0.186381620296984,1.77272164805068,4.03083877991947,5.36533590815757
"Aberdeen","Kilmarnock",2,1,"2 - 1",0.634418387868924,0.240666669853129,0.123465473445422,1.57624687291789,4.15512459872514,8.09943032731374
"Aberdeen","Hamilton",2,1,"2 - 1",0.586310184997003,0.222320041583264,0.1880744419815,1.70558183294242,4.49802002949643,5.31704355713769
"Motherwell","Livingston",1,1,"1 - 1",0.436215825346218,0.267741857605433,0.295309396593089,2.2924431941604,3.73494084542315,3.38627897228044
"Motherwell","St Mirren",2,2,"2 - 2",0.365589393267226,0.228365111500914,0.402607234213104,2.73530911568065,4.37895260544646,2.48381031193962
"Motherwell","St Johnstone",1,1,"1 - 1",0.271328721207461,0.293648749767926,0.434710958469978,3.68556633278564,3.40542910804256,2.30037909216651
"Motherwell","Celtic",1,3,"1 - 3",0.0650648455845472,0.12962360175374,0.784872861810224,15.3692826136131,7.71464445109164,1.27409170154464
"Motherwell","Rangers",1,3,"1 - 3",0.0696086183031173,0.13069424563109,0.778111201728972,14.3660372002416,7.65144628343234,1.28516335168802
"Motherwell","Dundee",1,1,"1 - 1",0.515469089277058,0.267727515783987,0.216014291067121,1.93998053579215,3.73514092143909,4.62932334272864
"Motherwell","Ross County",1,1,"1 - 1",0.408298343255918,0.272123648080211,0.318970351246426,2.44918946284631,3.67480006627443,3.13508762207003
"Motherwell","Hearts",1,1,"1 - 1",0.356863044683249,0.250695706245952,0.391085837673537,2.80219544976308,3.98889959056148,2.55698341302443
"Motherwell","Dundee United",1,1,"1 - 1",0.451774597598738,0.257490494477158,0.289661424133099,2.21349320062521,3.88363850879439,3.45230644015787
"Motherwell","Hibernian",1,1,"1 - 1",0.270777512929013,0.288234225073694,0.440614551015266,3.69306885635722,3.46940062285916,2.26955736640062
"Motherwell","Aberdeen",1,1,"1 - 1",0.337770406344633,0.290308938685733,0.371610503501842,2.96059092571799,3.44460630295137,2.69098959953118
"Motherwell","Kilmarnock",1,1,"1 - 1",0.420703765401178,0.296782576299916,0.282240631443408,2.37696945509012,3.36947004257232,3.54307597345533
"Motherwell","Hamilton",1,1,"1 - 1",0.353149192615892,0.27370644811941,0.372584763943965,2.83166440957339,3.65354929294076,2.68395301357625
"Dundee United","Livingston",1,1,"1 - 1",0.308942616260297,0.277986955931003,0.412573317867843,3.23684706274857,3.59729109105466,2.42381161527349
"Dundee United","St Mirren",1,1,"1 - 1",0.369604518755928,0.263227999449629,0.366339023005066,2.70559462683507,3.79898795755335,2.72971192584681
"Dundee United","St Johnstone",1,1,"1 - 1",0.4138507312059,0.258671876817191,0.326475839378036,2.41633015141993,3.86590151316187,3.06301379576842
"Dundee United","Celtic",1,3,"1 - 3",0.0626981484025403,0.121895056496044,0.789868185111938,15.9494343210857,8.20377814117879,1.26603402801732
"Dundee United","Rangers",1,2,"1 - 2",0.0891079109306882,0.171749742713501,0.731428352210031,11.22234815692,5.82242502492779,1.36718790976378
"Dundee United","Dundee",2,1,"2 - 1",0.421785921679465,0.250653521704143,0.326191903736803,2.37087097648543,3.98957091526663,3.06568001395546
"Dundee United","Ross County",1,1,"1 - 1",0.374964498798921,0.267125408148444,0.35719509510436,2.66691914355407,3.74356002647375,2.79959051427577
"Dundee United","Hearts",2,1,"2 - 1",0.425470694742771,0.251169143637344,0.322016938055493,2.35033813692991,3.98138077599162,3.10542670841641
"Dundee United","Hibernian",1,1,"1 - 1",0.205750491781979,0.271635942425088,0.521912545504253,4.86025569775861,3.68139794414644,1.9160298188154
"Dundee United","Aberdeen",1,1,"1 - 1",0.443898899320052,0.280036371237583,0.275575971737162,2.2527652164305,3.57096471283581,3.62876339942212
"Dundee United","Motherwell",1,1,"1 - 1",0.317657573136277,0.286100911339186,0.395873826952601,3.14804394595999,3.49527023636235,2.52605737463854
"Dundee United","Kilmarnock",1,1,"1 - 1",0.533367500538466,0.281748448811544,0.184360089781555,1.87487988861421,3.54926532592511,5.42416746045677
"Dundee United","Hamilton",1,1,"1 - 1",0.431205085686035,0.289600270104589,0.278844181597445,2.3190821101032,3.45303545345055,3.58623226158492
"Hibernian","Livingston",2,1,"2 - 1",0.522149878172935,0.245053573125283,0.231119678578671,1.91515892620548,4.08074033464001,4.32676268048551
"Hibernian","St Mirren",1,1,"1 - 1",0.475906752249598,0.260823579144836,0.262300054600784,2.10125196852751,3.83400919226209,3.81242772336431
"Hibernian","St Johnstone",2,1,"2 - 1",0.529629773994713,0.258081847848421,0.211216428346,1.88811137345534,3.87473977087815,4.73448020985315
"Hibernian","Celtic",1,2,"1 - 2",0.126496432372116,0.183261713483491,0.682151089923411,7.9053612915998,5.45667712579847,1.46595089382951
"Hibernian","Rangers",1,2,"1 - 2",0.151543814836023,0.211069720632966,0.633402301314179,6.59875166190083,4.73777099340043,1.57877544480847
"Hibernian","Dundee",1,0,"1 - 0",0.564285075406047,0.292269150433075,0.14304881975342,1.77215390515233,3.4215037697897,6.99062041702788
"Hibernian","Ross County",2,1,"2 - 1",0.584995005370917,0.246041715070475,0.16750836046951,1.70941630410323,4.06435144428077,5.96985127904718
"Hibernian","Hearts",1,1,"1 - 1",0.325333316836804,0.284590134817051,0.389692369915793,3.07377064766357,3.51382524430389,2.56612671224763
"Hibernian","Dundee United",2,1,"2 - 1",0.545977177976165,0.253848417004584,0.198960112886414,1.83157838887481,3.93935881814831,5.0261330549752
"Hibernian","Aberdeen",2,1,"2 - 1",0.633138781788621,0.230288947021965,0.134538780537851,1.57943254901397,4.34237080386069,7.43280112992148
"Hibernian","Motherwell",1,1,"1 - 1",0.410041175921744,0.300301731093524,0.289418774298652,2.4387794658721,3.32998413415262,3.45520086740502
"Hibernian","Kilmarnock",2,1,"2 - 1",0.754782031811217,0.165982509025409,0.0719464362217023,1.32488580524412,6.02473119530276,13.8992291003617
"Hibernian","Hamilton",3,1,"3 - 1",0.716507658797913,0.123674634607615,0.104654881411212,1.39565849397577,8.08573239915136,9.55521602543104
"Kilmarnock","Livingston",1,1,"1 - 1",0.453542158321214,0.267653281871315,0.278054181757666,2.20486669574775,3.73617686661055,3.59642136535654
"Kilmarnock","St Mirren",2,1,"2 - 1",0.562422324797391,0.250150203836015,0.186089680493533,1.77802330368063,3.99759818167306,5.37375311380983
"Kilmarnock","St Johnstone",1,1,"1 - 1",0.340118392075146,0.256284208829895,0.402506034583385,2.94015267418722,3.90191812662065,2.48443480117025
"Kilmarnock","Celtic",1,2,"1 - 2",0.119669697756189,0.165462535049054,0.701059638335466,8.35633429974368,6.04366420291781,1.42641216997503
"Kilmarnock","Rangers",1,2,"1 - 2",0.184567919437431,0.195731226372749,0.611454366856733,5.41805966631704,5.10904682166354,1.63544502125423
"Kilmarnock","Ross County",2,1,"2 - 1",0.586251918473041,0.228634623507567,0.182494294031228,1.70575134765377,4.37379074375804,5.4796233784103
"Kilmarnock","Hearts",2,1,"2 - 1",0.455014453969611,0.245431529897889,0.297863290555845,2.19773238251193,4.0744561239383,3.35724485596695
"Kilmarnock","Dundee United",2,1,"2 - 1",0.552134440037182,0.235177950282078,0.210408167185197,1.8111530951278,4.25209930948278,4.75266722474618
"Kilmarnock","Hibernian",1,1,"1 - 1",0.283595336507043,0.356277016242051,0.360086574068475,3.52615107256943,2.80680468964243,2.77710992859688
"Kilmarnock","Aberdeen",1,1,"1 - 1",0.465456846038677,0.295659451054684,0.238566148406878,2.14842688105377,3.38226969045899,4.19170953916934
"Kilmarnock","Motherwell",1,1,"1 - 1",0.350835362102793,0.251507851130081,0.396343210428841,2.85033981183175,3.97601902090442,2.52306580177823
"Kilmarnock","Hamilton",2,1,"2 - 1",0.628223000898646,0.19999260002148,0.165504395131111,1.59179144757442,5.00018500630822,6.04213561342472
"Hamilton","Livingston",0,1,"0 - 1",0.151237992832641,0.341526873179843,0.507120014716389,6.61209515724396,2.92802727553862,1.97191980395264
"Hamilton","St Mirren",1,2,"1 - 2",0.21070723235572,0.241152375138221,0.546276201106338,4.74592157478383,4.14675575733738,1.83057581123755
"Hamilton","St Johnstone",1,2,"1 - 2",0.177835016617875,0.213438643639504,0.604472533109125,5.62318951024569,4.68518719454098,1.65433488740417
"Hamilton","Celtic",0,3,"0 - 3",0.0243093795131868,0.0891739048521375,0.858750191043338,41.1363852153258,11.2140429608655,1.16448300149436
"Hamilton","Rangers",1,2,"1 - 2",0.136610632062994,0.190019742677819,0.666280828063994,7.32007446930543,5.26261106297525,1.50086863958804
"Hamilton","Ross County",1,2,"1 - 2",0.251733786215486,0.251640695516426,0.495280428582095,3.9724504804611,3.97392002890378,2.01905817854106
"Hamilton","Dundee United",1,1,"1 - 1",0.320291945072583,0.337733284009853,0.34190833140251,3.12215157260164,2.96091634240831,2.92476055174787
"Hamilton","Hibernian",0,3,"0 - 3",0.0490106132980596,0.127196549334713,0.80805117213005,20.403743856835,7.86184849534352,1.23754538634474
"Hamilton","Aberdeen",1,1,"1 - 1",0.255208781315423,0.345752627435644,0.398974343821956,3.91836046881185,2.89224121712895,2.50642683040856
"Hamilton","Motherwell",1,1,"1 - 1",0.178895017716499,0.268966884352547,0.55138181858895,5.58987059988856,3.71792982027206,1.81362527070464
"Hamilton","Kilmarnock",1,1,"1 - 1",0.362618500510534,0.325987351869644,0.31129675785894,2.7577191968752,3.06760367929821,3.21236882413384
